split,path,class,sha256
train,Training/Apple Braeburn/300_100.jpg,Apple Braeburn,6227b2578bd498f15fefcb21c4755687bf3762752c7e87a7d77ae0d67eb5efb4
train,Training/Apple Braeburn/r_175_100.jpg,Apple Braeburn,75d306411913eb9ed235ba798b788b84b23fe6ee0585ba06a6b866d679c80b18
train,Training/Apple Braeburn/19_100.jpg,Apple Braeburn,336b2debe9ac13fcfc43f1653fb96fc0f96560bef6c1cea78d3fd2a0207b55ad
train,Training/Apple Braeburn/168_100.jpg,Apple Braeburn,ffc026fe87fa9ad46af6369888b76e463c5aac988f55eab795ef6bfb434221cc
train,Training/Apple Braeburn/113_100.jpg,Apple Braeburn,34ee665128a3f44e20353405391a0908866c9f03645a647b6f662244e183214c
train,Training/Apple Braeburn/268_100.jpg,Apple Braeburn,004a9e507a42aa406bef60a151f2d02ac73d41a23c324d9149c203ab1d711cc4
train,Training/Apple Braeburn/309_100.jpg,Apple Braeburn,0a3b37401076c6e6cad51864ccf442457377e2174b3993d036ba932f6bb5372e
train,Training/Apple Braeburn/247_100.jpg,Apple Braeburn,e4737c00ecb392901d71d6d0a22f8c48823517efc1390860bc494bd55a76c3a7
train,Training/Apple Braeburn/r_16_100.jpg,Apple Braeburn,cbbbcff44d4f7e0d207592b97a0905b5b75f9c02e363f8d89bb90bd878b9f3fe
train,Training/Apple Braeburn/r_317_100.jpg,Apple Braeburn,0fd2b4806641b3c5d9da4b39d0084e3bad3de4cea81c73c187da5b677bf65b3a
train,Training/Apple Braeburn/r_129_100.jpg,Apple Braeburn,3c4768df99e08fa94f6b3f8314e0b15c7d2afc1e5afac39d4a72cb5140d14802
train,Training/Apple Braeburn/r_159_100.jpg,Apple Braeburn,5e77d814bc0d57566516f2c4bab64837ad43175735087bb0f871a3b6281ee686
train,Training/Apple Braeburn/r_236_100.jpg,Apple Braeburn,eef4bd1fd60a938ada64d134c6f35e2d12aa6fbbb000d6baa786bf52c4133a11
train,Training/Apple Braeburn/r_137_100.jpg,Apple Braeburn,d45a2587ebe962f130d006a886e761dbabbb17aa8c07cb2738486421abd4f1ae
