class,precision,recall,f1,support
Apple Braeburn,0.7637795275590551,0.5914634146341463,0.6666666666666666,164
Apple Crimson Snow,1.0,0.7364864864864865,0.8482490272373541,148
Apple Golden 1,0.9302325581395349,1.0,0.963855421686747,160
Apple Golden 2,0.9523809523809523,0.975609756097561,0.963855421686747,164
Apple Golden 3,0.7676767676767676,0.9440993788819876,0.8467966573816156,161
Apple Granny Smith,0.9111111111111111,1.0,0.9534883720930233,164
Apple Pink Lady,0.7307692307692307,1.0,0.8444444444444444,152
Apple Red 1,0.9647058823529412,1.0,0.9820359281437125,164
Apple Red 2,0.845360824742268,1.0,0.9162011173184358,164
Apple Red 3,1.0,1.0,1.0,144
Apple Red Delicious,0.9485714285714286,1.0,0.9736070381231672,166
Apple Red Yellow 1,0.9868421052631579,0.9146341463414634,0.9493670886075949,164
Apple Red Yellow 2,1.0,1.0,1.0,219
Apricot,0.9704142011834319,1.0,0.984984984984985,164
Avocado,0.9862068965517241,1.0,0.9930555555555556,143
Avocado ripe,1.0,1.0,1.0,166
Banana,1.0,0.7590361445783133,0.863013698630137,166
Banana Lady Finger,0.896774193548387,0.9144736842105263,0.9055374592833876,152
Banana Red,0.9005847953216374,0.927710843373494,0.913946587537092,166
Beetroot,0.7974683544303798,0.42,0.5502183406113537,150
Blueberry,0.9615384615384616,0.8116883116883117,0.8802816901408451,154
Cactus fruit,0.8341708542713567,1.0,0.9095890410958904,166
Cantaloupe 1,1.0,1.0,1.0,164
Cantaloupe 2,0.7799043062200957,0.9939024390243902,0.8739946380697051,164
Carambula,1.0,0.8614457831325302,0.9255663430420712,166
Cauliflower,0.961864406779661,0.9700854700854701,0.9659574468085106,234
Cherry 1,1.0,1.0,1.0,164
Cherry 2,0.9534883720930233,1.0,0.9761904761904762,246
Cherry Rainier,1.0,0.8048780487804879,0.8918918918918919,246
Cherry Wax Black,1.0,1.0,1.0,164
Cherry Wax Red,1.0,1.0,1.0,164
Cherry Wax Yellow,1.0,1.0,1.0,164
Chestnut,0.8171428571428572,0.934640522875817,0.8719512195121951,153
Clementine,1.0,0.9698795180722891,0.9847094801223242,166
Cocos,0.9570552147239264,0.9397590361445783,0.9483282674772037,166
Corn,0.8059701492537313,0.36,0.4976958525345622,150
Corn Husk,1.0,0.8246753246753247,0.9039145907473309,154
Cucumber Ripe,1.0,0.8692307692307693,0.9300411522633745,130
Cucumber Ripe 2,1.0,1.0,1.0,156
Dates,0.8217821782178217,1.0,0.9021739130434783,166
Eggplant,0.8558558558558559,0.6089743589743589,0.7116104868913857,156
Fig,1.0,1.0,1.0,234
Ginger Root,1.0,0.9191919191919192,0.9578947368421052,99
Granadilla,0.9171270718232044,1.0,0.9567723342939481,166
Grape Blue,0.9187675070028011,1.0,0.9576642335766423,328
Grape Pink,0.7884615384615384,1.0,0.8817204301075269,164
Grape White,1.0,1.0,1.0,166
Grape White 2,1.0,1.0,1.0,166
Grape White 3,1.0,1.0,1.0,164
Grape White 4,1.0,1.0,1.0,158
Grapefruit Pink,1.0,1.0,1.0,166
Grapefruit White,1.0,1.0,1.0,164
Guava,1.0,1.0,1.0,166
Hazelnut,1.0,1.0,1.0,157
Huckleberry,1.0,1.0,1.0,166
Kaki,1.0,1.0,1.0,166
Kiwi,1.0,1.0,1.0,156
Kohlrabi,0.9573170731707317,1.0,0.9781931464174455,157
Kumquats,1.0,0.9397590361445783,0.968944099378882,166
Lemon,0.9939393939393939,1.0,0.9969604863221885,164
Lemon Meyer,1.0,1.0,1.0,166
Limes,1.0,1.0,1.0,166
Lychee,1.0,1.0,1.0,166
Mandarine,1.0,1.0,1.0,166
Mango,1.0,1.0,1.0,166
Mango Red,1.0,0.8661971830985915,0.9283018867924528,142
Mangostan,1.0,0.7745098039215687,0.8729281767955801,102
Maracuja,1.0,0.7891566265060241,0.8821548821548821,166
Melon Piel de Sapo,0.9761904761904762,1.0,0.9879518072289156,246
Mulberry,1.0,1.0,1.0,164
Nectarine,0.756578947368421,0.7012195121951219,0.7278481012658228,164
Nectarine Flat,1.0,0.89375,0.9438943894389439,160
Nut Forest,0.9954337899543378,1.0,0.9977116704805492,218
Nut Pecan,0.7960199004975125,0.898876404494382,0.8443271767810027,178
Onion Red,0.7978723404255319,1.0,0.8875739644970414,150
Onion Red Peeled,1.0,1.0,1.0,155
Onion White,0.5770750988142292,1.0,0.731829573934837,146
Orange,1.0,1.0,1.0,160
Papaya,1.0,1.0,1.0,164
Passion Fruit,1.0,1.0,1.0,166
Peach,1.0,0.6890243902439024,0.8158844765342961,164
Peach 2,0.9389312977099237,1.0,0.968503937007874,246
Peach Flat,1.0,0.9024390243902439,0.9487179487179487,164
Pear,0.9663865546218487,0.7012195121951219,0.8127208480565371,164
Pear 2,0.8714285714285714,0.5258620689655172,0.6559139784946236,232
Pear Abate,0.9455782312925171,0.8373493975903614,0.8881789137380192,166
Pear Forelle,0.8996138996138996,0.9957264957264957,0.9452332657200812,234
Pear Kaiser,1.0,0.7352941176470589,0.847457627118644,102
Pear Monster,0.8110236220472441,0.6204819277108434,0.7030716723549488,166
Pear Red,1.0,0.990990990990991,0.995475113122172,222
